HR01;HR02;Suma;Suma_Eduardo;Check
14;25;24;24;0
19;36;50;50;0
13;26;34;34;0
15;22;38;38;0
17;44;43;43;0
12;45;41;41;0
12;27;41;41;0
10;28;38;38;0
6;26;33;33;0
16;25;50;50;0
14;28;39;39;0
15;20;40;40;0
8;28;36;36;0
11;24;38;38;0
5;19;45;45;0
8;21;35;35;0
12;45;34;34;0
8;35;36;36;0
17;30;43;43;0
13;23;35;35;0
12;30;46;46;0
10;36;41;41;0
8;30;37;37;0
10;34;35;35;0
11;39;32;32;0
7;27;39;39;0
7;30;37;37;0
9;20;34;34;0
10;25;37;37;0
10;22;39;39;0
12;30;34;34;0
18;42;47;47;0
9;34;35;35;0
7;10;35;35;0
9;31;38;38;0
12;21;38;38;0
11;23;31;31;0
7;26;27;27;0
5;29;32;32;0
14;29;43;43;0
7;28;36;36;0
15;27;41;41;0
6;34;36;36;0
7;25;36;36;0
7;25;38;38;0
14;28;43;43;0
17;27;49;49;0
8;40;33;33;0
12;27;57;57;0
14;22;40;40;0
4;28;24;24;0
8;26;28;28;0
15;22;38;38;0
11;34;33;33;0
6;31;30;30;0
4;29;31;31;0
12;25;38;38;0
12;21;35;35;0
10;32;30;30;0
13;30;30;30;0
14;25;37;37;0
8;27;35;35;0
11;29;41;41;0
13;22;42;42;0
11;29;25;25;0
5;26;28;28;0
9;28;32;32;0
6;29;24;24;0
10;26;34;34;0
8;20;37;37;0
9;20;30;30;0
9;27;27;27;0
9;29;32;32;0
10;29;28;28;0
11;26;34;34;0
6;30;25;25;0
8;29;31;31;0
7;31;26;26;0
6;29;27;27;0
12;32;39;39;0
10;25;31;31;0
10;45;32;32;0
11;26;38;38;0
7;20;29;29;0
8;20;29;29;0
10;23;30;30;0
6;22;36;36;0
11;24;26;26;0
5;27;29;29;0
7;26;29;29;0
13;23;29;29;0
14;20;37;37;0
6;17;27;27;0
10;23;35;35;0
3;27;23;23;0
5;30;33;33;0
9;29;33;33;0
4;14;26;26;0
4;23;27;27;0
7;23;32;32;0
3;18;22;22;0
6;24;21;21;0
8;29;25;25;0
2;21;23;23;0
7;18;30;30;0
10;23;32;32;0
9;18;40;40;0
8;23;26;26;0
7;19;35;35;0
15;23;47;47;0
11;19;32;32;0
7;21;25;25;0
7;27;30;30;0
8;21;25;25;0
7;22;31;31;0
6;27;27;27;0
8;22;30;30;0
14;21;28;28;0
7;20;24;24;0
14;30;42;42;0
7;15;25;25;0
9;24;33;33;0
7;22;22;22;0
6;16;25;25;0
11;23;33;33;0
12;21;30;30;0
9;25;34;34;0
5;20;22;22;0
9;28;25;25;0
5;24;27;27;0
7;22;31;31;0
3;23;21;21;0
6;25;21;21;0
3;19;30;30;0
10;15;27;27;0
8;17;24;24;0
4;21;31;31;0
5;23;24;24;0
1;22;20;20;0
7;31;31;31;0
10;18;28;28;0
8;28;29;29;0
10;32;31;31;0
9;21;25;25;0
8;18;30;30;0
3;23;23;23;0
8;17;34;34;0
3;24;27;27;0
8;21;28;28;0
10;22;38;38;0
5;14;25;25;0
8;17;23;23;0
6;28;24;24;0
8;18;24;24;0
8;24;35;35;0
4;15;25;25;0
7;19;18;18;0
7;22;25;25;0
5;18;26;26;0
4;25;22;22;0
8;17;22;22;0
7;16;24;24;0
5;22;24;24;0
2;24;24;24;0
7;18;26;26;0
5;15;29;29;0
6;27;24;24;0
3;17;26;26;0
6;16;18;18;0
6;27;28;28;0
3;19;19;19;0
7;19;25;25;0
1;24;18;18;0
8;18;34;34;0
6;21;23;23;0
5;21;29;29;0
9;16;26;26;0
8;22;27;27;0
4;20;17;17;0
9;26;20;20;0
5;24;36;36;0
5;20;26;26;0
5;28;28;28;0
5;20;28;28;0
4;15;24;24;0
7;18;30;30;0
6;16;24;24;0
4;27;33;33;0
3;21;22;22;0
3;11;24;24;0
1;18;15;15;0
4;21;23;23;0
5;18;17;17;0
3;14;24;24;0
3;17;24;24;0
5;19;20;20;0
1;22;22;22;0
3;19;25;25;0
6;24;26;26;0
6;18;30;30;0
4;23;20;20;0
6;12;14;14;0
4;22;25;25;0
7;16;21;21;0
3;18;22;22;0
3;17;26;26;0
5;26;18;18;0
7;17;27;27;0
4;24;19;19;0
5;17;27;27;0
10;19;33;33;0
9;13;26;26;0
5;11;16;16;0
5;31;37;37;0
2;21;15;15;0
5;23;16;16;0
12;23;32;32;0
9;20;28;28;0
6;23;22;22;0
4;18;27;27;0
3;29;23;23;0
2;19;30;30;0
5;21;20;20;0
2;14;24;24;0
3;19;26;26;0
4;12;21;21;0
1;21;16;16;0
4;21;11;11;0
8;15;29;29;0
7;21;22;22;0
3;22;20;20;0
3;20;19;19;0
7;24;30;30;0
7;16;30;30;0
3;8;20;20;0
1;21;18;18;0
6;14;22;22;0
4;19;23;23;0
2;23;19;19;0
3;13;18;18;0
3;20;12;12;0
2;15;21;21;0
7;22;23;23;0
2;23;15;15;0
5;17;27;27;0
4;11;15;15;0
3;32;17;17;0
6;13;17;17;0
4;11;20;20;0
3;20;15;15;0
4;19;20;20;0
1;16;21;21;0
3;23;27;27;0
3;20;13;13;0
6;28;25;25;0
8;15;29;29;0
7;22;19;19;0
1;23;13;13;0
5;17;21;21;0
4;15;30;30;0
6;7;21;21;0
2;21;12;12;0
4;15;20;20;0
5;17;21;21;0
5;16;19;19;0
4;23;20;20;0
3;23;19;19;0
5;17;19;19;0
9;17;25;25;0
5;16;21;21;0
5;19;22;22;0
4;17;15;15;0
6;15;23;23;0
3;9;18;18;0
1;19;25;25;0
